No.,Time,Source,Destination,Protocol,Tag,Length,Info
7305,03:57.8,100.6.0.22,100.6.0.12,TCP,1,66,39224  >  991 [ACK] Seq=1 Ack=17849 Win=83 Len=0 TSval=2651320319 TSecr=2091803340
7306,03:57.9,100.6.0.11,100.6.0.22,TCP,1,112,"991  >  49370 [PSH, ACK] Seq=17849 Ack=1 Win=85 Len=46 TSval=3351234563 TSecr=2774110354"
7307,03:57.9,100.6.0.22,100.6.0.11,TCP,1,66,49370  >  991 [ACK] Seq=1 Ack=17895 Win=83 Len=0 TSval=2774111495 TSecr=3351234563
7308,03:58.0,100.6.0.16,100.6.0.22,TCP,1,124,"991  >  39646 [PSH, ACK] Seq=22099 Ack=1 Win=85 Len=58 TSval=552922118 TSecr=2194560057"
7309,03:58.0,100.6.0.22,100.6.0.16,TCP,1,66,39646  >  991 [ACK] Seq=1 Ack=22157 Win=83 Len=0 TSval=2194561114 TSecr=552922118
7310,03:58.1,100.6.0.13,100.6.0.22,TCP,1,132,"991  >  38438 [PSH, ACK] Seq=24289 Ack=1 Win=85 Len=66 TSval=2221148136 TSecr=1777866886"
7311,03:58.1,100.6.0.22,100.6.0.13,TCP,1,66,38438  >  991 [ACK] Seq=1 Ack=24355 Win=83 Len=0 TSval=1777868085 TSecr=2221148136
7312,03:58.1,100.6.0.14,100.6.0.22,TCP,1,112,"991  >  48900 [PSH, ACK] Seq=17803 Ack=1 Win=85 Len=46 TSval=1181725170 TSecr=2456762562"
7313,03:58.1,100.6.0.22,100.6.0.14,TCP,1,66,48900  >  991 [ACK] Seq=1 Ack=17849 Win=83 Len=0 TSval=2456763606 TSecr=1181725170
7314,03:58.9,100.6.0.15,100.6.0.22,TCP,1,96,"991  >  37484 [PSH, ACK] Seq=12181 Ack=1 Win=85 Len=30 TSval=1776653807 TSecr=3277627889"
7315,03:58.9,100.6.0.22,100.6.0.15,TCP,1,66,37484  >  991 [ACK] Seq=1 Ack=12211 Win=83 Len=0 TSval=3277629008 TSecr=1776653807
7316,03:58.9,100.6.0.12,100.6.0.22,TCP,1,112,"991  >  39224 [PSH, ACK] Seq=17849 Ack=1 Win=85 Len=46 TSval=2091804512 TSecr=2651320319"
7317,03:58.9,100.6.0.22,100.6.0.12,TCP,1,66,39224  >  991 [ACK] Seq=1 Ack=17895 Win=83 Len=0 TSval=2651321491 TSecr=2091804512
7318,03:59.0,100.6.0.11,100.6.0.22,TCP,1,112,"991  >  49370 [PSH, ACK] Seq=17895 Ack=1 Win=85 Len=46 TSval=3351235659 TSecr=2774111495"
7319,03:59.0,100.6.0.22,100.6.0.11,TCP,1,66,49370  >  991 [ACK] Seq=1 Ack=17941 Win=83 Len=0 TSval=2774112591 TSecr=3351235659
7320,03:59.2,100.6.0.16,100.6.0.22,TCP,1,124,"991  >  39646 [PSH, ACK] Seq=22157 Ack=1 Win=85 Len=58 TSval=552923269 TSecr=2194561114"
7321,03:59.2,100.6.0.22,100.6.0.16,TCP,1,66,39646  >  991 [ACK] Seq=1 Ack=22215 Win=83 Len=0 TSval=2194562265 TSecr=552923269
7322,03:59.2,100.6.0.13,100.6.0.22,TCP,1,132,"991  >  38438 [PSH, ACK] Seq=24355 Ack=1 Win=85 Len=66 TSval=2221149302 TSecr=1777868085"
7323,03:59.2,100.6.0.22,100.6.0.13,TCP,1,66,38438  >  991 [ACK] Seq=1 Ack=24421 Win=83 Len=0 TSval=1777869251 TSecr=2221149302
7324,03:59.3,100.6.0.14,100.6.0.22,TCP,1,112,"991  >  48900 [PSH, ACK] Seq=17849 Ack=1 Win=85 Len=46 TSval=1181726351 TSecr=2456763606"
7325,03:59.3,100.6.0.22,100.6.0.14,TCP,1,66,48900  >  991 [ACK] Seq=1 Ack=17895 Win=83 Len=0 TSval=2456764787 TSecr=1181726351
7326,03:59.9,100.6.0.15,100.6.0.22,TCP,1,96,"991  >  37484 [PSH, ACK] Seq=12211 Ack=1 Win=85 Len=30 TSval=1776654859 TSecr=3277629008"
7327,03:59.9,100.6.0.22,100.6.0.15,TCP,1,66,37484  >  991 [ACK] Seq=1 Ack=12241 Win=83 Len=0 TSval=3277630060 TSecr=1776654859
7328,04:00.0,100.6.0.11,100.6.0.22,TCP,1,112,"991  >  49370 [PSH, ACK] Seq=17941 Ack=1 Win=85 Len=46 TSval=3351236673 TSecr=2774112591"
7329,04:00.0,100.6.0.22,100.6.0.11,TCP,1,66,49370  >  991 [ACK] Seq=1 Ack=17987 Win=83 Len=0 TSval=2774113605 TSecr=3351236673
7330,04:00.1,100.6.0.12,100.6.0.22,TCP,1,112,"991  >  39224 [PSH, ACK] Seq=17895 Ack=1 Win=85 Len=46 TSval=2091805643 TSecr=2651321491"
7331,04:00.1,100.6.0.22,100.6.0.12,TCP,1,66,39224  >  991 [ACK] Seq=1 Ack=17941 Win=83 Len=0 TSval=2651322622 TSecr=2091805643
7332,04:00.2,100.6.0.16,100.6.0.22,TCP,1,124,"991  >  39646 [PSH, ACK] Seq=22215 Ack=1 Win=85 Len=58 TSval=552924342 TSecr=2194562265"
7333,04:00.2,100.6.0.22,100.6.0.16,TCP,1,66,39646  >  991 [ACK] Seq=1 Ack=22273 Win=83 Len=0 TSval=2194563338 TSecr=552924342
7334,04:00.3,100.6.0.13,100.6.0.22,TCP,1,132,"991  >  38438 [PSH, ACK] Seq=24421 Ack=1 Win=85 Len=66 TSval=2221150359 TSecr=1777869251"
7335,04:00.3,100.6.0.22,100.6.0.13,TCP,1,66,38438  >  991 [ACK] Seq=1 Ack=24487 Win=83 Len=0 TSval=1777870308 TSecr=2221150359
7336,04:00.3,100.6.0.14,100.6.0.22,TCP,1,112,"991  >  48900 [PSH, ACK] Seq=17895 Ack=1 Win=85 Len=46 TSval=1181727421 TSecr=2456764787"
7337,04:00.3,100.6.0.22,100.6.0.14,TCP,1,66,48900  >  991 [ACK] Seq=1 Ack=17941 Win=83 Len=0 TSval=2456765857 TSecr=1181727421
7338,04:00.9,100.6.0.15,100.6.0.22,TCP,1,96,"991  >  37484 [PSH, ACK] Seq=12241 Ack=1 Win=85 Len=30 TSval=1776655878 TSecr=3277630060"
7339,04:00.9,100.6.0.22,100.6.0.15,TCP,1,66,37484  >  991 [ACK] Seq=1 Ack=12271 Win=83 Len=0 TSval=3277631079 TSecr=1776655878
7340,04:01.1,100.6.0.11,100.6.0.22,TCP,1,112,"991  >  49370 [PSH, ACK] Seq=17987 Ack=1 Win=85 Len=46 TSval=3351237772 TSecr=2774113605"
7341,04:01.1,100.6.0.22,100.6.0.11,TCP,1,66,49370  >  991 [ACK] Seq=1 Ack=18033 Win=83 Len=0 TSval=2774114704 TSecr=3351237772
7342,04:01.3,100.6.0.12,100.6.0.22,TCP,1,112,"991  >  39224 [PSH, ACK] Seq=17941 Ack=1 Win=85 Len=46 TSval=2091806835 TSecr=2651322622"
7343,04:01.3,100.6.0.22,100.6.0.12,TCP,1,66,39224  >  991 [ACK] Seq=1 Ack=17987 Win=83 Len=0 TSval=2651323815 TSecr=2091806835
7344,04:01.3,100.6.0.16,100.6.0.22,TCP,1,124,"991  >  39646 [PSH, ACK] Seq=22273 Ack=1 Win=85 Len=58 TSval=552925440 TSecr=2194563338"
7345,04:01.3,100.6.0.22,100.6.0.16,TCP,1,66,39646  >  991 [ACK] Seq=1 Ack=22331 Win=83 Len=0 TSval=2194564436 TSecr=552925440
7346,04:01.4,100.6.0.13,100.6.0.22,TCP,1,132,"991  >  38438 [PSH, ACK] Seq=24487 Ack=1 Win=85 Len=66 TSval=2221151438 TSecr=1777870308"
7347,04:01.4,100.6.0.22,100.6.0.13,TCP,1,66,38438  >  991 [ACK] Seq=1 Ack=24553 Win=83 Len=0 TSval=1777871387 TSecr=2221151438
7348,04:01.4,100.6.0.14,100.6.0.22,TCP,1,112,"991  >  48900 [PSH, ACK] Seq=17941 Ack=1 Win=85 Len=46 TSval=1181728518 TSecr=2456765857"
7349,04:01.4,100.6.0.22,100.6.0.14,TCP,1,66,48900  >  991 [ACK] Seq=1 Ack=17987 Win=83 Len=0 TSval=2456766954 TSecr=1181728518
7350,04:01.9,100.6.0.15,100.6.0.22,TCP,1,96,"991  >  37484 [PSH, ACK] Seq=12271 Ack=1 Win=85 Len=30 TSval=1776656890 TSecr=3277631079"
7351,04:01.9,100.6.0.22,100.6.0.15,TCP,1,66,37484  >  991 [ACK] Seq=1 Ack=12301 Win=83 Len=0 TSval=3277632091 TSecr=1776656890
7352,04:02.2,100.6.0.11,100.6.0.22,TCP,1,112,"991  >  49370 [PSH, ACK] Seq=18033 Ack=1 Win=85 Len=46 TSval=3351238871 TSecr=2774114704"
7353,04:02.2,100.6.0.22,100.6.0.11,TCP,1,66,49370  >  991 [ACK] Seq=1 Ack=18079 Win=83 Len=0 TSval=2774115803 TSecr=3351238871
7354,04:02.4,100.6.0.12,100.6.0.22,TCP,1,112,"991  >  39224 [PSH, ACK] Seq=17987 Ack=1 Win=85 Len=46 TSval=2091807926 TSecr=2651323815"
7355,04:02.4,100.6.0.22,100.6.0.12,TCP,1,66,39224  >  991 [ACK] Seq=1 Ack=18033 Win=83 Len=0 TSval=2651324905 TSecr=2091807926
7356,04:02.4,100.6.0.16,100.6.0.22,TCP,1,124,"991  >  39646 [PSH, ACK] Seq=22331 Ack=1 Win=85 Len=58 TSval=552926517 TSecr=2194564436"
7357,04:02.4,100.6.0.22,100.6.0.16,TCP,1,66,39646  >  991 [ACK] Seq=1 Ack=22389 Win=83 Len=0 TSval=2194565513 TSecr=552926517
7358,04:02.4,100.6.0.13,100.6.0.22,TCP,1,132,"991  >  38438 [PSH, ACK] Seq=24553 Ack=1 Win=85 Len=66 TSval=2221152520 TSecr=1777871387"
7359,04:02.4,100.6.0.22,100.6.0.13,TCP,1,66,38438  >  991 [ACK] Seq=1 Ack=24619 Win=83 Len=0 TSval=1777872469 TSecr=2221152520
7360,04:02.5,100.6.0.14,100.6.0.22,TCP,1,112,"991  >  48900 [PSH, ACK] Seq=17987 Ack=1 Win=85 Len=46 TSval=1181729625 TSecr=2456766954"
7361,04:02.5,100.6.0.22,100.6.0.14,TCP,1,66,48900  >  991 [ACK] Seq=1 Ack=18033 Win=83 Len=0 TSval=2456768061 TSecr=1181729625
7362,04:03.0,100.6.0.15,100.6.0.22,TCP,1,96,"991  >  37484 [PSH, ACK] Seq=12301 Ack=1 Win=85 Len=30 TSval=1776657900 TSecr=3277632091"
7363,04:03.0,100.6.0.22,100.6.0.15,TCP,1,66,37484  >  991 [ACK] Seq=1 Ack=12331 Win=83 Len=0 TSval=3277633101 TSecr=1776657900
7364,04:03.4,100.6.0.11,100.6.0.22,TCP,1,112,"991  >  49370 [PSH, ACK] Seq=18079 Ack=1 Win=85 Len=46 TSval=3351239981 TSecr=2774115803"
7365,04:03.4,100.6.0.22,100.6.0.11,TCP,1,66,49370  >  991 [ACK] Seq=1 Ack=18125 Win=83 Len=0 TSval=2774116913 TSecr=3351239981
7366,04:03.4,100.6.0.12,100.6.0.22,TCP,1,112,"991  >  39224 [PSH, ACK] Seq=18033 Ack=1 Win=85 Len=46 TSval=2091808996 TSecr=2651324905"
7367,04:03.4,100.6.0.22,100.6.0.12,TCP,1,66,39224  >  991 [ACK] Seq=1 Ack=18079 Win=83 Len=0 TSval=2651325975 TSecr=2091808996
7368,04:03.5,100.6.0.16,100.6.0.22,TCP,1,124,"991  >  39646 [PSH, ACK] Seq=22389 Ack=1 Win=85 Len=58 TSval=552927578 TSecr=2194565513"
